State,City,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,Body Style,Segment,Seats,PriceEuro,Color,Model Year,Electric Vehicle type,Model date
New York,Albany,Volkswagen,ID.3 Pro,9,160,350,58,166,490,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,Gold,2015,Hybrid,2013-01-07
Texas,Austin,Volvo,XC40 P8 AWD Recharge,4.9,180,375,75,200,470,Yes,AWD,Type 2 CCS,SUV,C,5,60437,Gold,2014,Plug-in hybrid,2020-07-22
South Dakota,Sioux Falls,BMW,i3 120 Ah,7.3,150,235,37.9,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,Blue,2012,Battery,2015-07-10
Connecticut,Danbury,Peugeot,e-2008 SUV,8.5,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,34361,Black,2011,Hybrid,2021-09-02
Nebraska,Lincoln,Audi,e-tron 50 quattro,6.8,190,280,77,231,450,Yes,AWD,Type 2 CCS,SUV,E,5,67358,Silver,2020,Battery,2020-10-12
West Virginia,Charleston,Kia,e-Niro 64 kWh,7.8,167,370,64,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,38105,Green,2016,Hybrid,2018-03-05
Indiana,Indianapolis,Renault,Zoe ZE50 R110,11.4,135,315,52,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184,White,2013,Hybrid,2022-11-09
Texas,Houston,Tesla,Cybertruck Tri Motor,3,210,750,200,267,710,Yes,AWD,Type 2 CCS,Pickup,N,6,75000,Black,2015,Plug-in hybrid,2018-11-15
Missouri,Kansas City,Mazda,MX-30,9,150,180,30,178,240,Yes,FWD,Type 2 CCS,SUV,C,5,32646,Green,2018,Hybrid,2018-01-07
Indiana,South Bend,Nissan,Leaf e+,7.3,157,325,56,172,390,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237,Blue,2017,Battery,2018-10-20
Nebraska,Omaha,Lexus,UX 300e,7.5,160,270,50,193,190,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000,Red,2013,Battery,2015-02-21
Ohio,Cleveland,CUPRA,el-Born,6.5,160,425,77,181,570,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000,Black,2018,Hybrid,2012-01-14
West Virginia,Huntington,Renault,Zoe ZE50 R135,9.5,140,310,52,168,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133,Blue,2022,Plug-in hybrid,2019-05-26
New York,Buffalo,Mercedes,EQA,5,200,350,66.5,171,440,Yes,AWD,Type 2 CCS,SUV,C,5,45000,Blue,2018,Hybrid,2010-11-15
Ohio,Cleveland,Tesla,Model S Long Range,3.8,250,515,90,184,560,Yes,AWD,Type 2,Liftback,F,5,79990,Blue,2020,Hybrid,2020-10-10
Alabama,Montgomery,Hyundai,Kona Electric 39 kWh,9.9,155,255,39,154,210,Yes,FWD,Type 2 CCS,SUV,B,5,33971,Red,2020,Plug-in hybrid,2013-01-12
Pennsylvania,Pittsburgh,Audi,e-tron Sportback 55 quattro,5.7,200,380,86.5,228,610,Yes,AWD,Type 2 CCS,SUV,E,5,81639,Red,2015,Plug-in hybrid,2019-02-27
District of Columbia,Washington,Skoda,CITIGOe iV,12.3,130,195,36.8,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,Silver,2015,Plug-in hybrid,2015-08-19
Ohio,Youngstown,SEAT,Mii Electric,12.3,130,195,32.3,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,White,2016,Battery,2012-08-25
Alabama,Birmingham,Kia,E -Soul 64 kWh,7.9,167,365,64,175,340,Yes,FWD,Type 2 CCS,SUV,B,5,36837,Gray,2011,Battery,2010-02-02
Florida,Fort Lauderdale,Opel,Ampera-e,7.3,150,335,58,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,41906,White,2013,Hybrid,2013-12-18
New York,Port Washington,Porsche,Taycan 4S,4,250,365,71,195,730,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,Green,2018,Battery,2022-11-06
Florida,Miami,Lightyear,One,10,150,575,60,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,Green,2010,Hybrid,2019-04-04
Ohio,Columbus,Aiways,U5,9,150,335,63,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057,Silver,2013,Plug-in hybrid,2014-07-10
Kentucky,Lexington,Audi,e-tron 55 quattro,5.7,200,365,86.5,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445,Green,2019,Battery,2019-03-19
South Carolina,Aiken,Tesla,Roadster,2.1,410,970,200,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,Green,2010,Plug-in hybrid,2020-08-13
Ohio,Columbus,Opel,Mokka-e,8.5,150,255,45,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000,Gold,2020,Battery,2018-01-02
Nevada,Reno,Skoda,Enyaq iV 80,8.8,160,420,77,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000,Silver,2017,Hybrid,2014-02-11
Michigan,Detroit,Tesla,Model X Long Range,4.6,250,450,90,211,490,Yes,AWD,Type 2,SUV,F,7,85990,Blue,2020,Plug-in hybrid,2015-06-26
California,Whittier,Honda,e Advance,8.3,145,170,28.5,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,Blue,2012,Plug-in hybrid,2019-09-10
Minnesota,Minneapolis,DS,3 Crossback E-Tense,8.7,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422,Black,2017,Plug-in hybrid,2016-03-01
Alabama,Mobile,Renault,Twingo ZE,12.6,135,130,21.3,164,0,No,RWD,Type 2,Hatchback,A,4,24790,Gold,2020,Battery,2017-09-28
Texas,El Paso,Citroen,e-C4,9.7,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000,Gray,2018,Battery,2010-06-03
Texas,College Station,Tesla,Model S Performance,2.5,261,505,90,188,550,Yes,AWD,Type 2,Liftback,F,5,96990,White,2018,Plug-in hybrid,2017-07-05
Texas,El Paso,Renault,Zoe ZE40 R110,11.4,135,255,41,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,White,2020,Battery,2021-03-22
Texas,Houston,Tesla,Model Y Long Range Performance,3.7,241,410,72.5,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620,Black,2010,Hybrid,2018-01-19
California,San Bernardino,Nissan,Ariya 87kWh,7.6,160,440,87,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,Silver,2017,Hybrid,2014-02-23
Oklahoma,Oklahoma City,Jaguar,I-Pace,4.8,200,365,84.7,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351,Gold,2014,Hybrid,2018-03-06
Utah,Salt Lake City,Ford,Mustang Mach-E ER RWD,7,180,450,88,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475,Gold,2015,Plug-in hybrid,2012-03-12
Georgia,Atlanta,Porsche,Taycan 4S Plus,4,250,425,83.7,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,Black,2016,Battery,2017-11-20
Texas,Gatesville,Nissan,e-NV200 Evalia,14,123,190,38,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,Black,2012,Plug-in hybrid,2012-02-11
Florida,Bonita Springs,Tesla,Cybertruck Dual Motor,5,190,460,120,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,Black,2022,Battery,2021-02-07
Florida,Panama City,Renault,Kangoo Maxi ZE 33,22.4,130,160,31,194,0,No,FWD,Type 2,SPV,N,5,38000,Silver,2022,Hybrid,2020-07-30
Connecticut,New Haven,Ford,Mustang Mach-E ER AWD,6,180,430,88,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900,White,2011,Hybrid,2010-10-30
Texas,Houston,BMW,i3s 120 Ah,6.9,160,230,37.9,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,Silver,2016,Battery,2010-02-21
Michigan,Warren,Skoda,Enyaq iV 80X,7,160,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,45000,Gold,2022,Plug-in hybrid,2014-10-25
Arizona,Tucson,Porsche,Taycan Cross Turismo,3.5,250,385,83.7,217,770,Yes,AWD,Type 2 CCS,Station,F,4,150000,Gray,2020,Battery,2018-10-11
Texas,San Antonio,Byton,M-Byte 95 kWh 4WD,5.5,190,390,95,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,64000,Gray,2022,Plug-in hybrid,2014-06-13
Illinois,Chicago,Sono,Sion,9,140,225,35,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,White,2010,Plug-in hybrid,2020-07-03
New York,Buffalo,Kia,e-Niro 39 kWh,9.8,155,235,39,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,34400,Silver,2011,Hybrid,2014-04-02
Tennessee,Murfreesboro,Audi,Q4 Sportback e-tron,6.3,180,410,77,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,57500,Blue,2022,Battery,2020-09-20
Ohio,Youngstown,Smart,EQ forfour,12.7,130,95,16.7,176,0,No,RWD,Type 2,Hatchback,A,4,22030,Gold,2012,Hybrid,2017-04-03
North Carolina,Greensboro,Ford,Mustang Mach-E SR AWD,6,180,340,88,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,54000,White,2014,Battery,2017-01-30
California,Santa Monica,Porsche,Taycan Turbo,3.2,260,390,83.7,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,White,2016,Plug-in hybrid,2010-02-13
Missouri,Independence,Volkswagen,ID.3 1st,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,Gray,2022,Plug-in hybrid,2019-10-21
Texas,Austin,Tesla,Model X Performance,2.8,250,440,90,216,480,Yes,AWD,Type 2,SUV,F,7,102990,Black,2017,Battery,2012-08-22
Washington,Tacoma,Smart,EQ fortwo coupe,11.6,130,100,16.7,167,0,No,RWD,Type 2,Hatchback,A,2,21387,Green,2010,Battery,2010-04-01
Florida,Pompano Beach,Ford,Mustang Mach-E SR RWD,6.6,180,360,88,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,46900,Red,2015,Battery,2018-06-07
Texas,El Paso,Mercedes,EQV 300 Long,10,140,330,90,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,70631,Black,2017,Hybrid,2020-10-31
North Carolina,Asheville,Fiat,500e Hatchback,9,150,250,37.3,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,Green,2011,Battery,2022-07-05
Tennessee,Memphis,Tesla,Cybertruck Single Motor,7,180,390,100,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,Red,2011,Hybrid,2020-10-29
Arizona,Phoenix,Audi,e- tron Sportback 50 quattro,6.8,190,295,64.7,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,69551,Gray,2015,Plug-in hybrid,2019-05-31
Texas,Dallas,Skoda,Enyaq iV vRS,6.2,180,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,47500,Silver,2020,Battery,2012-06-05
Minnesota,Rochester,Skoda,Enyaq iV 60,9,160,320,58,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,37500,Gold,2019,Plug-in hybrid,2013-11-19
Louisiana,Baton Rouge,Audi,e-tron S 55 quattro,4.5,210,320,86.5,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,93800,Gold,2020,Battery,2019-05-12
Hawaii,Honolulu,Smart,EQ fortwo cabrio,11.9,130,95,16.7,176,0,No,RWD,Type 2,Cabrio,A,2,24565,Red,2019,Battery,2015-09-27
Texas,Fort Worth,Nissan,Ariya e-4ORCE 87kWh,5.7,200,420,87,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,Red,2022,Plug-in hybrid,2018-01-01
Michigan,Warren,Fiat,500e Convertible,9,150,250,23.8,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,Gray,2013,Battery,2020-04-03
California,Los Angeles,Volkswagen,ID.3 Pro Performance,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,Gray,2016,Battery,2018-03-06
Nevada,Las Vegas,Kia,e-Soul 39 kWh,9.9,157,230,39,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,33133,Gray,2019,Plug-in hybrid,2020-01-17
Louisiana,Shreveport,Byton,M-Byte 72 kWh 2WD,7.5,190,325,72,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,53500,Black,2012,Battery,2019-06-02
Virginia,Ashburn,Nissan,Ariya 63kWh,7.5,160,330,63,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,White,2010,Plug-in hybrid,2013-06-20
Ohio,Warren,Audi,e-tron S Sportback 55 quattro,4.5,210,335,86.5,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,96050,Blue,2016,Hybrid,2011-09-21
California,San Francisco,Nissan,Ariya e-4ORCE 63kWh,5.9,200,325,63,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,Red,2014,Battery,2011-08-27
California,San Diego,Nissan,Ariya e-4ORCE 87kWh Performance,5.1,200,375,87,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,White,2015,Hybrid,2010-10-19
Missouri,Saint Louis,Byton,M-Byte 95 kWh 2WD,7.5,190,400,95,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,62000,White,2014,Battery,2020-11-25
